id	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96
TOB5_000000056	12	4	185	63	103	68	66	186	0	0	4	2	0	0	0	0	0	0	0	0	1	2	1	1	0	15	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	2	3	4	13	0	2	17	10	0	0	0	0	0	0	6	5	3	1	2	0	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TOB5_000000058	11	3	3	1	1	3	2	3	0	0	3	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	1	1	3	3	0	0	0	0	0	6	1	1	1	0	2	2	9	2	0	10	6	0	0	0	0	0	0	4	25	4	4	4	6	3	1	1	1	6	2	1	3	5	3	1	4	1	6	4	16	3	3	1	5	0
TOB5_000000059	15	8	1	1	1	2	3	3	1	2	8	1	4	0	3	1	1	1	0	1	2	0	1	0	0	0	0	2	3	0	1	1	3	0	0	4	0	1	1	0	1	0	0	2	5	10	3	1	1	1	1	4	1	2	3	3	2	7	6	2	1	2	6	0	1	0	1	2	0	2	36	12	3	3	10	1	2	3	1	1	9	2	2	2	4	1	2	1	0	2	2	1	0	1	17	0
TOB5_000000060	19	9	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000062	35	54	73	21	32	38	87	48	12	187	81	14	137	0	100	88	47	6	0	0	11	0	14	5	0	28	0	6	2	8	8	0	9	0	3	77	2	5	6	0	60	0	2	26	59	44	193	17	22	10	2	109	74	66	155	141	54	65	252	9	13	63	90	0	0	0	0	0	33	47	159	45	117	87	119	90	45	149	20	22	179	42	55	57	209	178	151	31	45	107	166	103	21	84	120	0
TOB5_000000063	13	22	6	2	0	0	1	1	0	3	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	4	2	1	1	1	0	3	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	2	6	5	4	1	1	4	1	0	2	0	2	5	1	8	4	2	0	6	6	2	1	8	1	0
TOB5_000000064	7	1	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	4	1	0	0	0	0
TOB5_000000065	19	2	12	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	76	13	1	1	1	1	1	7	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	0	1	0
TOB5_000000066	9	6	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000067	12	58	3	0	1	0	2	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	3	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	1	1	1	1	1	1	3	3	1	0	3	5	3	0	3	0	0
TOB5_000000068	9	5	4	0	0	2	2	1	0	1	15	1	0	0	0	0	1	0	0	1	3	0	0	0	0	1	2	2	1	1	0	2	9	1	2	32	0	2	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	5	27	28	10	6	5	18	2	3	15	0	9	0	0	2	1	0	0	0	1	0	1	1	1	1	0	1	3	4	1	1	0	0	1	1	1	0	0	1	0
TOB5_000000069	17	2	17	4	5	3	2	5	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	1	3	1	1	0	1	2	0	0	0	0	0	0	10	61	21	1	1	5	20	7	9	0	1	0	0	0	0	0	2	7	2	1	6	5	6	0	4	0	0
TOB5_000000070	12	9	54	56	22	76	58	52	5	26	36	6	15	0	5	18	36	2	0	0	2	0	4	1	0	8	0	8	0	1	1	2	4	0	1	64	1	3	2	0	6	0	2	6	51	106	28	5	15	6	0	123	45	251	66	56	34	33	158	4	5	71	82	0	0	0	0	1	67	129	226	114	169	149	249	73	21	74	228	189	210	110	112	190	101	57	50	5	26	40	76	37	11	31	28	0
TOB5_000000072	9	6	76	22	23	23	23	12	0	0	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	1	7	1	0	0	0	0	0	4	0	0	1	0	1	3	14	1	0	6	7	0	0	0	0	0	0	8	81	37	2	6	1	23	10	29	2	2	2	2	11	14	18	1	1	0	2	4	2	2	0	2	12	0
TOB5_000000073	10	6	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	1	2	1	2	0	0	0	0	0	1	1	1	1	1	0	4	1	2	0	1	1	0
TOB5_000000075	10	5	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000076	12	5	11	5	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	5	0	0	0	0	1	1	11	9	0	0	3	6	2	0	0	0	0	0	0	0	0	0	0	0
TOB5_000000077	9	3	3	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	43	15	0	0	1	7	1	4	1	1	0	0	0	1	0	1	2	0	0	1	1	1	0	0	2	0
