id	Kingdom	Phylum	Class	Order	Family	Genus	Species
TOB5_000058244	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058274	Metazoa	Annelida	Polychaeta	Polychaeta_unclass	Polychaeta_unclass	Polychaeta_unclass	Polychaeta_unclass
TOB5_000058304	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058316	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_unclass
TOB5_000058320	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058324	Hacrobia	Heliozoa	Centrohelea	Centrohelida	Heterophryidae	Heterophrys	Heterophrys sp. Oxford1
TOB5_000058348	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058394	Metazoa	Arthropoda	Maxillopoda	Maxillopoda_unclass	Maxillopoda_unclass	Maxillopoda_unclass	Maxillopoda_unclass
TOB5_000058423	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000058427	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000058431	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000058460	Viridiplantae	Streptophyta	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass
TOB5_000058461	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema_unclass
TOB5_000058478	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058505	Stramenopiles	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass
TOB5_000058591	Stramenopiles	Ochrophyta	Chrysophyceae	Hydrurales	Hydruraceae	Hydrurus	Hydrurus foetidus
TOB5_000058613	Stramenopiles	Bacillariophyta	Fragilariophyceae	Fragilariophyceae_unclass	Fragilariophyceae_unclass	Fragilariophyceae_unclass	Fragilariophyceae_unclass
TOB5_000058639	Stramenopiles	Ochrophyta	Phaeophyceae	Laminariales	Laminariales_unclass	Laminariales_unclass	Laminariales_unclass
TOB5_000058661	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058678	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058685	Stramenopiles	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass
TOB5_000058704	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000058716	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000058737	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058753	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058777	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058873	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000058904	Metazoa	Arthropoda	Maxillopoda	Maxillopoda_unclass	Maxillopoda_unclass	Maxillopoda_unclass	Maxillopoda_unclass
TOB5_000059017	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059022	Stramenopiles	Ochrophyta	Chrysophyceae	Parmales	Triparmaceae	Triparma	Triparma sp. TOY-0807
TOB5_000059156	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059160	Rhizaria	Cercozoa	Sarcomonadea	Glissomonadida	Sandonidae	Bodomorpha	Bodomorpha_unclass
TOB5_000059174	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000059192	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_unclass	Prymnesiales_unclass	Prymnesiales_unclass
TOB5_000059193	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris
TOB5_000059228	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059253	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000059269	Hacrobia	Haptophyta	Haptophyceae	Haptophyceae_unclass	Haptophyceae_unclass	Haptophyceae_unclass	Haptophyceae_unclass
TOB5_000059278	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059296	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059298	Stramenopiles	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass
TOB5_000059305	Correct_manually	Correct_manually	Correct_manually	Correct_manually	Paraonidae	Aricidea	Aricidea wassi
TOB5_000059309	Metazoa	Ctenophora	Tentaculata	Cydippida	Mertensiidae	Charistephane	Charistephane fugiens
TOB5_000059386	Alveolata	Ciliophora	Oligotrichea	Tintinnida	Tintinnida_unclass	Tintinnida_unclass	Tintinnida_unclass
